도시,구,동,위도,경도
대구광역시,달서구,본동,35.83615556,128.5338917
대구광역시,달서구,송현1동,35.83069167,128.5571444
대구광역시,달서구,송현1동,35.8234,128.5526889
대구광역시,달서구,진천동,35.81196389,128.5322472
대구광역시,달서구,진천동,35.81098611,128.5297472
대구광역시,달서구,진천동,35.81029444,128.5253472
대구광역시,달서구,유천동,35.81234167,128.5166722
대구광역시,달서구,대곡동,35.80763889,128.5115722
대구광역시,달서구,월성동,35.82761389,128.5238806
대구광역시,달서구,상인3동,35.81006944,128.5497917
대구광역시,달서구,도원동,35.80705833,128.5441583
대구광역시,달서구,상인2동,35.80975278,128.540825
대구광역시,달서구,상인2동,35.80931389,128.5462583
대구광역시,달서구,상인2동,35.81575556,128.5374028
대구광역시,달서구,상인1동,35.81672222,128.5461028
대구광역시,달서구,상인동,35.81714167,128.5371361
대구광역시,달서구,두류동,35.85937222,128.5711778
대구광역시,달서구,성당동,35.84161944,128.5501
대구광역시,달서구,성당동,35.84283056,128.5508
대구광역시,달서구,성당동,35.8482499,128.5471504
대구광역시,달서구,본리동,35.83757778,128.5301917
대구광역시,달서구,용산동,35.8597979,128.5241725
대구광역시,달서구,장기동,35.85036944,128.5238583
대구광역시,달서구,장기동,35.84187778,128.5292917
대구광역시,달서구,신당동,35.85712778,128.4992389
대구광역시,달서구,호산동,35.85180278,128.4833389
대구광역시,달서구,호산동,35.85077,128.488404
대구광역시,달서구,감삼동,35.844825,128.5382694
대구광역시,달서구,감삼동,35.844769,128.5400526
대구광역시,달서구,본리동,35.84043333,128.533925
대구광역시,달서구,본리동,35.8392246,128.5333645
대구광역시,달서구,장기동,35.842506,128.5360758
대구광역시,달서구,죽전동,35.85441944,128.5349611
대구광역시,달서구,상인동,35.81311667,128.5407806
대구광역시,달서구,상인동,35.81051667,128.5477472
대구광역시,달서구,상인3동,35.81063611,128.5492806
대구광역시,달서구,상인동,35.80738611,128.5544139
대구광역시,달서구,본동,35.83395556,128.5299694
대구광역시,달서구,송현동,35.82273056,128.5497694
대구광역시,달서구,송현1동,35.82475556,128.5506444
대구광역시,달서구,월성동,35.82488611,128.533225
대구광역시,달서구,대천동,35.82027222,128.5219583
대구광역시,달서구,진천동,35.81077778,128.5288139
대구광역시,달서구,진천동,35.80922778,128.51975
대구광역시,달서구,진천동,35.816525,128.527425
대구광역시,달서구,두류동,35.85669444,128.5568556
대구광역시,달서구,성당동,35.85240833,128.5696889
대구광역시,달서구,장기동,35.84771111,128.5151361
대구광역시,달서구,장기동,35.8493474,128.5193146
대구광역시,달서구,신당동,35.86008056,128.4951833
대구광역시,달서구,이곡동,35.85312778,128.50205
대구광역시,달서구,감삼동,35.84860833,128.5383361
대구광역시,달서구,본리동,35.83931389,128.5358806
대구광역시,달서구,상인2동,35.81015556,128.5401806
대구광역시,달서구,상인1동,35.81645,128.5490583
대구광역시,달서구,송현2동,35.8344313,128.5527078
대구광역시,달서구,송현2동,35.83160556,128.5511667
대구광역시,달서구,송현2동,35.8280843,128.545977
대구광역시,달서구,진천동,35.81182222,128.5293917
대구광역시,달서구,월성동,35.83152222,128.5264917
대구광역시,달서구,송현동,35.83478889,128.5546556
대구광역시,달서구,송현1동,35.82682778,128.5489806
대구광역시,달서구,본동,35.83593611,128.5320389
대구광역시,달서구,상인동,35.81642778,128.5478806
대구광역시,달서구,도원동,35.8070103,128.5452353
대구광역시,달서구,진천동,35.81287222,128.5280694
대구광역시,달서구,진천동,35.81128889,128.5228694
대구광역시,달서구,성당동,35.839987,128.556682
대구광역시,달서구,성당동,35.83971944,128.5561556
대구광역시,달서구,이곡동,35.8493488,128.5079616
대구광역시,달서구,이곡동,35.8494522,128.5148746
대구광역시,달서구,이곡동,35.86165278,128.5023278
대구광역시,달서구,신당동,35.85815,128.4975944
대구광역시,달서구,두류동,35.85637778,128.5732972
대구광역시,달서구,성당동,35.8511628,128.5722945
대구광역시,달서구,상인동,35.8211994,128.5314406
대구광역시,달서구,상인동,35.82230278,128.5321694
대구광역시,달서구,상인동,35.81105278,128.5477917
대구광역시,달서구,도원동,35.805675,128.531425
대구광역시,달서구,도원동,35.80493611,128.5319472
대구광역시,달서구,상인동,35.81393611,128.5395806
대구광역시,달서구,상인동,35.81340833,128.5411806
대구광역시,달서구,상인동,35.80724167,128.5511028
대구광역시,달서구,송현동,35.82356667,128.5504806
대구광역시,달서구,송현동,35.82433611,128.5526556
대구광역시,달서구,송현동,35.8276129,128.544202
대구광역시,달서구,송현동,35.82715278,128.5465028
대구광역시,달서구,월성동,35.8240888,128.5211202
대구광역시,달서구,월성동,35.83268889,128.5253361
대구광역시,달서구,대곡동,35.80648056,128.5237361
대구광역시,달서구,대곡동,35.80642778,128.5236917
대구광역시,달서구,진천동,35.81606944,128.5277694
대구광역시,달서구,진천동,35.81742222,128.5294139
대구광역시,달서구,유천동,35.81220833,128.5130722
대구광역시,달서구,월성동,35.82391667,128.5277806
대구광역시,달서구,진천동,35.81044167,128.5289917
대구광역시,달서구,진천동,35.81088333,128.5269361
대구광역시,달서구,진천동,35.81030833,128.5198833
대구광역시,달서구,진천동,35.81028333,128.5198167
대구광역시,달서구,용산동,35.85565278,128.5316583
대구광역시,달서구,용산동,35.85328333,128.5331583
대구광역시,달서구,죽전동,35.85674167,128.5384028
대구광역시,달서구,신당동,35.85330833,128.4946833
대구광역시,달서구,신당동,35.85221389,128.4953833
대구광역시,달서구,신당동,35.8587,128.4958833
대구광역시,달서구,신당동,35.85619722,128.4954278
대구광역시,달서구,호산동,35.85077222,128.4842167
대구광역시,달서구,호산동,35.84975,128.4821722
대구광역시,달서구,두류동,35.86008333,128.5740972
대구광역시,달서구,두류동,35.86145278,128.5719306
대구광역시,달서구,두류동,35.8542616,128.5730217
대구광역시,달서구,두류동,35.85328333,128.5711444
대구광역시,달서구,두류동,35.85566944,128.5582333
대구광역시,달서구,두류동,35.85449167,128.5561778
대구광역시,달서구,본리동,35.8404,128.5346806
대구광역시,달서구,본리동,35.838125,128.5351556
대구광역시,달서구,성당동,35.84622778,128.5507333
대구광역시,달서구,성당동,35.84408611,128.5494222
대구광역시,달서구,이곡동,35.86116667,128.5143139
대구광역시,달서구,이곡동,35.86109722,128.5143472
대구광역시,달서구,용산동,35.85719167,128.518025
대구광역시,달서구,이곡동,35.85727778,128.5142139
대구광역시,달서구,이곡동,35.85102222,128.5088806
대구광역시,달서구,이곡동,35.85058056,128.5078806
대구광역시,달서구,이곡동,35.85062778,128.5114917
대구광역시,달서구,호산동,35.8537327,128.4781051
대구광역시,달서구,신당동,35.85756944,128.49225
대구광역시,달서구,신당동,35.8562,128.4921833
대구광역시,달서구,파호동,35.85273333,128.4761722
대구광역시,달서구,장기동,35.84325,128.5293806
