주소,동,위도,경도
대구광역시 달서구호산동 357-46,호산동 357-46,35.85077,128.488404
대구광역시 달서구감삼동 286-23,감삼동 286-23,35.844825,128.5382694
대구광역시 달서구감삼동 315-9,감삼동 315-9,35.844769,128.5400526
대구광역시 달서구본리동 430-1,본리동 430-1,35.84043333,128.533925
대구광역시 달서구본리동 648-5,본리동 648-5,35.8392246,128.5333645
대구광역시 달서구장기동 548-14,장기동 548-14,35.842506,128.5360758
대구광역시 달서구죽전동 69,죽전동 69,35.85441944,128.5349611
대구광역시 달서구상인동 540-10,상인동 540-10,35.81311667,128.5407806
대구광역시 달서구상인동 1570-4,상인동 1570-4,35.81051667,128.5477472
대구광역시 달서구상인3동 1578,상인3동 1578,35.81063611,128.5492806
대구광역시 달서구상인동 1592-2,상인동 1592-2,35.80738611,128.5544139
대구광역시 달서구본동 614-15,본동 614-15,35.83395556,128.5299694
대구광역시 달서구송현동 1955-2,송현동 1955-2,35.82273056,128.5497694
대구광역시 달서구송현1동 1962-1,송현1동 1962-1,35.82475556,128.5506444
대구광역시 달서구월성동 500-2,월성동 500-2,35.82488611,128.533225
대구광역시 달서구대천동 526-6,대천동 526-6,35.82027222,128.5219583
대구광역시 달서구진천동 275-10,진천동 275-10,35.81077778,128.5288139
대구광역시 달서구진천동 715,진천동 715,35.80922778,128.51975
대구광역시 달서구진천동 79-10,진천동 79-10,35.816525,128.527425
대구광역시 달서구두류동 471-9,두류동 471-9,35.85669444,128.5568556
대구광역시 달서구성당동 60-1,성당동 60-1,35.85240833,128.5696889
대구광역시 달서구장기동 180-61,장기동 180-61,35.84771111,128.5151361
대구광역시 달서구장기동 124-3,장기동 124-3,35.8493474,128.5193146
대구광역시 달서구신당동 1663,신당동 1663,35.86008056,128.4951833
대구광역시 달서구이곡동 1210-3,이곡동 1210-3,35.85312778,128.50205
대구광역시 달서구감삼동 169-17,감삼동 169-17,35.84860833,128.5383361
대구광역시 달서구본리동 390,본리동 390,35.83931389,128.5358806
대구광역시 달서구상인2동 1332-35,상인2동 1332-35,35.81015556,128.5401806
대구광역시 달서구상인1동 1542-10,상인1동 1542-10,35.81645,128.5490583
대구광역시 달서구송현2동 122-4,송현2동 122-4,35.8344313,128.5527078
대구광역시 달서구송현2동 184-53,송현2동 184-53,35.83160556,128.5511667
대구광역시 달서구송현2동 1907-4,송현2동 1907-4,35.8280843,128.545977
대구광역시 달서구진천동 194-1,진천동 194-1,35.81182222,128.5293917
대구광역시 달서구월성동 84-4,월성동 84-4,35.83152222,128.5264917
대구광역시 달서구송현동 136-5,송현동 136-5,35.83478889,128.5546556
대구광역시 달서구송현1동 798-42,송현1동 798-42,35.82682778,128.5489806
대구광역시 달서구본동 707,본동 707,35.83593611,128.5320389
대구광역시 달서구상인동 1541-7,상인동 1541-7,35.81642778,128.5478806
대구광역시 달서구도원동 1450-10,도원동 1450-10,35.8070103,128.5452353
대구광역시 달서구진천동 255-8,진천동 255-8,35.81287222,128.5280694
대구광역시 달서구진천동 479-24,진천동 479-24,35.81128889,128.5228694
대구광역시 달서구성당동 201-8,성당동 201-8,35.839987,128.556682
대구광역시 달서구성당동 385-10,성당동 385-10,35.83971944,128.5561556
대구광역시 달서구이곡동 1000-75,이곡동 1000-75,35.8493488,128.5079616
대구광역시 달서구이곡동 1289,이곡동 1289,35.8494522,128.5148746
대구광역시 달서구이곡동 1173-11,이곡동 1173-11,35.86165278,128.5023278
대구광역시 달서구신당동 160,신당동 160,35.85815,128.4975944
대구광역시 달서구두류동 777-58,두류동 777-58,35.85637778,128.5732972
대구광역시 달서구성당동 56-35,성당동 56-35,35.8511628,128.5722945
대구광역시 달서구상인동 123-1,상인동 123-1,35.8211994,128.5314406
대구광역시 달서구상인동 118-2,상인동 118-2,35.82230278,128.5321694
대구광역시 달서구상인동 1565-10,상인동 1565-10,35.81105278,128.5477917
대구광역시 달서구도원동 1440-3,도원동 1440-3,35.805675,128.531425
대구광역시 달서구도원동 1441-2,도원동 1441-2,35.80493611,128.5319472
대구광역시 달서구상인동 1419-2,상인동 1419-2,35.81393611,128.5395806
대구광역시 달서구상인동 1474-2,상인동 1474-2,35.81340833,128.5411806
대구광역시 달서구상인동 1589,상인동 1589,35.80724167,128.5511028
대구광역시 달서구송현동 1955,송현동 1955,35.82356667,128.5504806
대구광역시 달서구송현동 1967,송현동 1967,35.82433611,128.5526556
대구광역시 달서구송현동 1909,송현동 1909,35.8276129,128.544202
대구광역시 달서구송현동 1922-22,송현동 1922-22,35.82715278,128.5465028
대구광역시 달서구월성동 1434,월성동 1434,35.8240888,128.5211202
대구광역시 달서구월성동 82,월성동 82,35.83268889,128.5253361
대구광역시 달서구대곡동 1031-1,대곡동 1031-1,35.80648056,128.5237361
대구광역시 달서구대곡동 1031-1,대곡동 1031-1,35.80642778,128.5236917
대구광역시 달서구진천동 79-31,진천동 79-31,35.81606944,128.5277694
대구광역시 달서구진천동 49-10,진천동 49-10,35.81742222,128.5294139
대구광역시 달서구유천동 333,유천동 333,35.81220833,128.5130722
대구광역시 달서구월성동 591-3,월성동 591-3,35.82391667,128.5277806
대구광역시 달서구진천동 809-14,진천동 809-14,35.81044167,128.5289917
대구광역시 달서구진천동 253-24,진천동 253-24,35.81088333,128.5269361
대구광역시 달서구진천동 692-11,진천동 692-11,35.81030833,128.5198833
대구광역시 달서구진천동770-4,진천동770-4,35.81028333,128.5198167
대구광역시 달서구용산동 869-4,용산동 869-4,35.85565278,128.5316583
대구광역시 달서구용산동 890-7,용산동 890-7,35.85328333,128.5331583
대구광역시 달서구죽전동 202-1,죽전동 202-1,35.85674167,128.5384028
대구광역시 달서구신당동 1842-12,신당동 1842-12,35.85330833,128.4946833
대구광역시 달서구신당동 1833-5,신당동 1833-5,35.85221389,128.4953833
대구광역시 달서구신당동 1745-7,신당동 1745-7,35.8587,128.4958833
대구광역시 달서구신당동 1723-8,신당동 1723-8,35.85619722,128.4954278
대구광역시 달서구호산동 366-7,호산동 366-7,35.85077222,128.4842167
대구광역시 달서구호산동 390,호산동 390,35.84975,128.4821722
대구광역시 달서구두류동 1210-26,두류동 1210-26,35.86008333,128.5740972
대구광역시 달서구두류동 1227-22,두류동 1227-22,35.86145278,128.5719306
대구광역시 달서구두류동 825-1,두류동 825-1,35.8542616,128.5730217
대구광역시 달서구두류동 1335-22,두류동 1335-22,35.85328333,128.5711444
대구광역시 달서구두류동 475-15,두류동 475-15,35.85566944,128.5582333
대구광역시 달서구두류동 484-4,두류동 484-4,35.85449167,128.5561778
대구광역시 달서구본리동 413-1,본리동 413-1,35.8404,128.5346806
대구광역시 달서구본리동 656-3,본리동 656-3,35.838125,128.5351556
대구광역시 달서구성당동 678-5,성당동 678-5,35.84622778,128.5507333
대구광역시 달서구성당동 662-9,성당동 662-9,35.84408611,128.5494222
대구광역시 달서구이곡동 1345-11,이곡동 1345-11,35.86116667,128.5143139
대구광역시 달서구이곡동 1345-11,이곡동 1345-11,35.86109722,128.5143472
대구광역시 달서구용산동 419-4,용산동 419-4,35.85719167,128.518025
대구광역시 달서구이곡동 1306-8,이곡동 1306-8,35.85727778,128.5142139
대구광역시 달서구이곡동 661-17,이곡동 661-17,35.85102222,128.5088806
대구광역시 달서구이곡동 1000-49,이곡동 1000-49,35.85058056,128.5078806
대구광역시 달서구이곡동 751,이곡동 751,35.85062778,128.5114917
대구광역시 달서구호산동 108-7,호산동 108-7,35.8537327,128.4781051
대구광역시 달서구신당동 1700-10,신당동 1700-10,35.85756944,128.49225
대구광역시 달서구신당동 1710-10,신당동 1710-10,35.8562,128.4921833
대구광역시 달서구파호동 83-13,파호동 83-13,35.85273333,128.4761722
대구광역시 달서구장기동 817-1,장기동 817-1,35.84325,128.5293806
대구광역시 달서구용산동 559-12,용산동 559-12,35.86154,128.524663
대구광역시 달서구유천동 326,유천동 326,35.81208333,128.51115
대구광역시 달서구유천동 542-14,유천동 542-14,35.81201667,128.5111833
대구광역시 달서구월성동 84-5,월성동 84-5,35.83070556,128.5271139
대구광역시 달서구송현동 1901-34,송현동 1901-34,35.82896389,128.5456139
대구광역시 달서구상인3동 1587-5,상인3동 1587-5,35.80693611,128.5499472
대구광역시 달서구진천동 264-1,진천동 264-1,35.81148333,128.5283361
대구광역시 달서구진천동 101-5,진천동 101-5,35.81554444,128.5285028
대구광역시 달서구월성동 500-10,월성동 500-10,35.82693889,128.5313361
대구광역시 달서구송현1동 1964-17,송현1동 1964-17,35.82555833,128.5527444
